  //PID cohen coon
  Kp = 0.4321;
  Ki = 0.0578;
  Kd  =0.1596;
  
Greetings, Human!
Sampling every 200 ms
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
594,121.40,31.83
595,121.40,32.02
596,121.50,32.35
597,121.50,32.43
598,121.60,32.95
599,121.70,33.19
600,121.60,33.12
601,121.80,33.79
602,121.80,33.88
603,121.80,34.07
604,121.80,34.55
605,121.80,34.63
606,121.80,34.82
607,121.90,35.24
608,121.90,35.43
609,122.00,35.77
610,122.10,36.20
611,122.10,36.28
612,122.10,36.48
613,122.10,36.86
614,122.10,37.05
615,122.20,37.39
616,122.20,37.78
617,122.20,37.86
618,122.20,38.06
619,122.30,38.49
620,122.30,38.68
621,122.30,38.87
622,122.40,39.41
623,122.30,39.35
624,122.40,39.80
625,122.50,40.12
626,122.40,40.17
627,122.50,40.62
628,122.50,40.90
629,122.60,41.25
630,122.60,41.34
631,122.60,41.73
632,122.60,41.93
633,122.70,42.27
634,122.80,42.60
635,122.80,42.80
636,122.90,43.15
637,123.00,43.59
638,123.00,43.68
639,123.00,43.88
640,123.10,44.43
641,123.20,44.68
642,123.10,44.62
643,123.10,45.02
644,123.20,45.48
645,123.20,45.58
646,123.30,46.02
647,123.30,46.22
648,123.30,46.43
649,123.40,46.98
650,123.40,47.08
651,123.40,47.28
652,123.40,47.69
653,123.40,47.89
654,123.60,48.39
655,123.70,48.85
656,123.70,48.84
657,123.70,49.04
658,123.80,49.60
659,123.70,49.55
660,123.80,50.02
661,123.90,50.37
662,123.90,50.58
663,123.90,50.78
664,124.00,51.24
665,124.10,51.60
666,124.10,51.70
667,124.10,52.12
668,124.10,52.33
669,124.10,52.54
670,124.10,52.96
671,124.20,53.32
672,124.30,53.57
673,124.30,53.88
674,124.30,54.10
675,124.30,54.31
676,124.30,54.62
677,124.50,55.24
678,124.50,55.24
679,124.50,55.66
680,124.50,55.88
681,124.50,56.09
682,124.60,56.66
683,124.60,56.77
684,124.60,56.98
685,124.70,57.46
686,124.70,57.67
687,124.80,58.03
688,124.80,58.46
689,124.70,58.42
690,124.80,58.89
691,124.80,59.22
692,124.80,59.43
693,124.90,59.80
694,125.00,60.38
695,125.10,60.53
696,125.00,60.49
697,125.00,61.03
698,125.00,61.25
699,125.00,61.47
700,125.10,61.95
701,125.20,62.31
702,125.30,62.58
703,125.20,62.86
704,125.10,62.93
705,125.20,63.41
706,125.40,64.04
707,125.30,63.89
708,125.30,64.22
709,125.30,64.66
710,125.40,65.03
711,125.40,65.14
712,125.30,65.43
713,125.50,66.06
714,125.50,66.07
715,125.50,66.51
716,125.40,66.58
717,125.50,67.06
718,125.50,67.50
719,125.50,67.61
720,125.60,67.99
721,125.50,68.17
722,125.60,68.65
723,125.60,68.77
724,125.70,69.36
725,125.70,69.48
726,125.60,69.55
727,125.70,70.14
728,125.80,70.52
729,125.70,70.48
730,125.80,71.19
731,125.90,71.45
732,125.80,71.42
733,125.80,71.98
734,125.90,72.35
735,125.90,72.47
736,125.90,72.92
737,126.00,73.29
738,125.90,73.26
739,126.00,73.86
740,126.00,74.09
741,125.90,74.16
742,126.10,74.91
743,126.00,74.88
744,126.10,75.36
745,126.00,75.56
746,126.10,76.04
747,126.10,76.16
748,125.90,76.31
749,126.10,77.05
750,126.10,77.07
751,126.20,77.67
752,126.10,77.64
753,126.10,77.97
754,126.30,78.62
755,126.40,78.89
756,126.20,78.71
757,126.30,79.43
758,126.40,79.80
759,126.40,79.93
760,126.30,80.34
761,126.40,80.72
762,126.40,80.84
763,126.40,81.30
764,126.50,81.68
765,126.50,81.80
766,126.40,82.11
767,126.40,82.45
768,126.50,82.82
769,126.60,83.33
770,126.60,83.45
771,126.60,83.68
772,126.60,84.14
773,126.60,84.37
774,126.60,84.61
775,126.60,84.84
776,126.70,85.45
777,126.60,85.42
778,126.60,85.88
779,126.60,86.22
780,126.70,86.60
781,126.60,86.91
782,126.60,87.14
783,126.70,87.53
784,126.70,87.88
785,126.70,88.11
786,126.60,88.20
787,126.80,88.85
788,126.70,88.93
789,126.70,89.27
790,126.80,89.78
791,126.70,89.86
792,126.80,90.35
793,126.80,90.60
794,126.90,91.09
795,126.80,91.07
796,126.70,91.26
797,126.80,91.87
798,126.80,92.10
799,126.80,92.46
800,126.80,92.80
801,126.70,92.88
802,126.90,93.54
803,126.90,93.78
804,126.90,94.01
805,126.80,94.33
806,126.90,94.81
807,126.80,94.79
808,127.00,95.66
809,126.80,95.38
810,126.90,95.98
811,126.80,96.19
812,127.00,96.83
813,126.80,96.55
814,127.10,97.47
815,127.00,97.44
816,126.90,97.63
817,126.90,98.21
818,126.80,98.29
819,126.90,98.78
820,127.00,99.40
821,126.90,99.27
822,126.90,99.61
823,126.90,99.84
824,126.90,100.31
825,126.70,100.24
826,126.80,100.75
827,126.80,101.19
828,126.90,101.58
829,126.90,102.04
830,126.90,102.17
831,126.90,102.40
832,126.90,102.97
833,127.00,103.25
834,126.90,103.23
835,126.90,103.57
836,126.80,103.99
837,126.90,104.37
838,127.00,104.65
839,127.00,105.12
840,126.90,105.09
