  //PID root locus
  Kp = 0.00816x10;
  Kd = 0.205x10;
  Ki = 0.000033x10;
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
584,128.80,6.62
585,128.90,3.90
586,129.20,0.00
587,129.30,3.94
588,129.30,2.57
589,129.60,2.60
590,129.80,5.35
591,129.90,3.99
592,130.10,4.01
593,130.20,4.02
594,130.10,1.28
595,130.50,5.42
596,130.50,2.69
597,130.60,4.06
598,130.80,4.08
599,130.90,4.09
600,130.90,2.73
601,131.00,2.74
602,131.10,4.11
603,131.10,2.75
604,131.20,2.76
605,131.30,4.14
606,131.40,4.15
607,131.50,4.16
608,131.60,4.17
609,131.70,4.18
610,131.70,4.18
611,131.70,2.82
612,131.90,5.57
613,132.00,4.21
614,132.00,2.85
615,132.00,2.85
616,132.20,4.23
617,132.20,2.87
618,132.30,4.25
619,132.40,4.26
620,132.50,4.27
621,132.40,1.53
622,132.50,2.90
623,132.60,4.28
624,132.70,4.29
625,132.80,5.67
626,132.80,2.94
627,132.80,2.94
628,132.90,2.95
629,132.90,2.95
630,133.00,4.33
631,133.10,2.97
632,133.20,4.35
633,133.20,2.98
634,133.20,2.99
635,133.30,3.00
636,133.30,3.00
637,133.30,3.00
638,133.40,1.65
639,133.60,5.76
640,133.60,3.03
641,133.80,5.78
642,133.70,1.68
643,133.80,4.42
644,134.00,4.44
645,133.90,1.70
646,133.90,3.07
647,134.10,3.09
648,134.10,3.09
649,134.20,4.47
650,134.20,4.47
651,134.20,3.11
652,134.20,3.11
653,134.20,3.11
654,134.30,4.49
655,134.30,3.12
656,134.40,1.77
657,134.50,4.51
658,134.50,3.15
659,134.60,4.52
660,134.60,3.16
661,134.60,3.16
662,134.70,4.54
663,134.70,3.17
664,134.70,3.18
665,134.80,3.19
666,134.90,4.56
667,134.90,3.20
668,135.00,4.58
669,135.00,3.21
670,135.00,3.21
671,135.10,4.59
672,135.10,4.59
673,135.20,4.60
674,135.20,3.24
675,135.30,4.62
676,135.30,3.25
677,135.30,3.25
678,135.30,3.26
679,135.40,4.63
680,135.40,3.27
681,135.50,1.91
682,135.60,4.66
683,135.60,3.29
684,135.60,3.30
685,135.60,3.30
686,135.60,3.30
687,135.60,3.30
688,135.70,4.68
689,135.80,4.69
690,135.80,4.69
691,135.90,4.70
692,135.80,1.96
693,135.90,3.34
694,135.80,1.97
695,135.90,4.71
696,135.90,1.98
697,135.90,3.35
698,136.00,4.73
699,136.10,4.74
700,136.10,3.37
701,136.20,4.75
702,136.20,3.39
703,136.20,3.39
704,136.30,4.77
705,136.30,4.77
706,136.40,4.78
707,136.30,2.04
708,136.30,3.41
709,136.40,4.79
710,136.40,3.42
711,136.40,3.43
712,136.40,3.43
713,136.60,6.18
714,136.50,2.07
715,136.60,4.82
716,136.70,4.83
717,136.60,4.82
718,136.60,3.46
719,136.70,4.83
720,136.60,3.46
721,136.70,4.84
722,136.70,3.48
723,136.70,3.48
724,136.80,4.86
725,136.80,3.49
726,136.80,2.13
727,136.90,4.87
728,136.90,3.51
729,137.00,4.89
730,136.90,2.15
731,137.00,4.89
732,137.10,6.27
733,136.80,0.00
734,136.90,4.89
735,137.00,3.53
736,137.00,3.53
737,137.00,3.54
738,137.20,4.92
739,137.20,3.56
740,137.20,3.56
741,137.20,3.56
742,137.20,3.57
743,137.20,3.57
744,137.30,4.95
745,137.30,3.58
746,137.30,3.58
747,137.30,4.95
748,137.40,4.96
749,137.40,3.60
750,137.50,3.61
751,137.40,2.24
752,137.40,3.61
753,137.40,2.24
754,137.50,4.99
755,137.50,3.62
756,137.50,3.63
757,137.50,3.63
758,137.50,3.63
759,137.50,2.27
760,137.60,5.01
761,137.50,2.27
762,137.50,2.27
763,137.60,5.02
764,137.60,3.65
765,137.60,2.29
766,137.70,5.03
767,137.60,2.29
768,137.70,3.67
769,137.60,2.30
770,137.60,3.67
771,137.70,3.68
772,137.80,5.06
773,137.80,3.69
774,137.80,3.69
775,137.70,2.32
776,137.70,3.69
777,137.80,5.07
778,137.50,0.00
779,137.60,5.06
780,137.60,2.33
781,137.60,3.70
782,137.70,5.07
